,location,location_id,direction,position,ons,offs,total,lifts,period
4972,SE Lake & 36th,3353,E,OP,1,0,1,0,Fall2018
4973,SE Lake & 36th,3354,W,FS,0,0,0,0,Fall2018
4975,SE Lake & 51st,3356,E,FS,1,1,2,0,Fall2018
1166,Lake Oswego Transit Center,3363,S,AT,99,3,102,40,Fall2018
500,4400 Block Lakeview,3364,W,AT,1,4,5,0,Fall2018
1420,N Interstate & Larrabee,3365,N,FS,9,1,10,0,Fall2018
6716,SW Laurelwood & Laurel,3367,N,OP,67,0,67,0,Fall2018
3427,NW Leahy & Alpenglow Way,3376,W,FS,0,0,0,0,Fall2018
3431,NW Leahy & Oak,3377,E,NS,0,0,0,0,Fall2018
3423,NW Leahy & 101st,3378,E,NS,0,0,0,0,Fall2018
3424,NW Leahy & 101st,3379,W,OP,0,0,0,0,Fall2018
3425,NW Leahy & 95th,3383,E,FS,0,0,0,0,Fall2018
3426,NW Leahy & 97th,3385,E,NS,2,0,2,0,Fall2018
81,12100 Block SW Lesser,3387,N,AT,0,0,0,0,Fall2018
80,12000 Block SW Lesser,3388,S,OP,0,0,0,0,Fall2018
6720,SW Lesser & Haines,3389,S,NS,2,3,5,14,Fall2018
6718,SW Lesser & 60th,3392,S,OP,5,2,7,0,Fall2018
6719,SW Lesser & 60th,3393,E,FS,2,4,6,0,Fall2018
414,300 Block SW Lincoln,3397,E,AT,184,52,236,10,Fall2018
6721,SW Lincoln & 1st,3398,W,FS,50,210,260,5,Fall2018
4997,SE Lincoln & 57th,3403,E,NS,6,3,9,2,Fall2018
4998,SE Lincoln & 57th,3404,W,OP,3,11,14,2,Fall2018
1178,Linn & A V Davis,3407,S,NS,11,25,36,13,Fall2018
1179,Linn & Charman,3408,S,FS,4,3,7,4,Fall2018
1180,Linn & Charman,3409,N,OP,4,4,8,5,Fall2018
1181,Linn & Ethel,3410,N,NS,27,12,39,27,Fall2018
1182,Linn & Holmes,3411,S,NS,4,25,29,7,Fall2018
1183,Linn & Holmes,3412,N,NS,13,8,21,2,Fall2018
1184,Linn & Narain,3413,N,FS,5,3,8,1,Fall2018
1185,Linn & Oak,3414,S,NS,7,17,24,0,Fall2018
1186,Linn & Park,3415,S,FS,3,8,11,2,Fall2018
1187,Linn & Pearl,3416,N,FS,18,6,24,2,Fall2018
1188,Linn & Williams,3418,N,NS,34,4,38,8,Fall2018
4999,SE Linn & 13th,3419,W,NS,9,1,10,0,Fall2018
5000,SE Linn & 16th,3421,W,NS,4,3,7,2,Fall2018
1176,Linn & 4th,3422,S,NS,2,6,8,0,Fall2018
1177,Linn & 4th,3423,N,OP,3,4,7,3,Fall2018
5007,SE Linwood & Montgomery,3424,S,OP,0,1,1,0,Fall2018
5008,SE Linwood & Montgomery,3425,N,NS,0,0,0,0,Fall2018
64,11600 Block SE Linwood,3426,N,OP,2,1,3,0,Fall2018
65,11600 Block SE Linwood,3427,S,AT,2,3,5,0,Fall2018
88,12300 Block SE Linwood,3428,N,OP,4,3,7,1,Fall2018
89,12300 Block SE Linwood,3429,S,AT,7,5,12,0,Fall2018
5001,SE Linwood & Furnberg,3430,N,NS,1,0,1,0,Fall2018
5002,SE Linwood & Furnberg,3431,S,OP,0,1,1,0,Fall2018
74,11900 Block SE Linwood (Linwood Sch),3432,N,OP,2,2,4,0,Fall2018
75,11900 Block SE Linwood (Linwood Sch),3433,S,AT,2,1,3,0,Fall2018
5005,SE Linwood & Monroe,3434,N,FS,2,1,3,0,Fall2018
5006,SE Linwood & Monroe,3435,S,NS,1,1,2,0,Fall2018
6731,SW Locust & Hall,3438,W,NS,3,3,6,0,Fall2018
6732,SW Locust & Hall,3439,E,FS,5,1,6,0,Fall2018
6722,SW Locust & 80th,3440,E,NS,0,0,0,0,Fall2018
6723,SW Locust & 82nd,3441,W,FS,0,1,1,0,Fall2018
6724,SW Locust & 82nd,3442,E,NS,1,0,1,0,Fall2018
1508,N Lombard & Mississippi,3451,E,NS,21,18,39,4,Fall2018
1469,N Lombard & Albina,3452,W,NS,11,34,45,5,Fall2018
1470,N Lombard & Albina,3453,E,FS,43,21,64,4,Fall2018
6741,SW Lombard & Allen,3454,S,NS,26,78,104,25,Fall2018
6742,SW Lombard & Allen,3455,N,FS,98,30,128,11,Fall2018
1472,N Lombard & Buchanan,3462,W,FS,6,33,39,38,Fall2018
1473,N Lombard & Buchanan,3464,E,FS,39,7,46,50,Fall2018
1475,N Lombard & Burlington,3465,E,OP,272,103,375,147,Fall2018
1476,N Lombard & Burrage,3471,E,FS,43,12,55,16,Fall2018
1477,N Lombard & Burrage,3472,W,NS,6,26,32,12,Fall2018
1486,N Lombard & Charleston,3474,E,FS,157,55,212,37,Fall2018
1487,N Lombard & Chautauqua,3478,W,NS,11,15,26,7,Fall2018
1488,N Lombard & Chautauqua,3479,E,NS,12,12,24,5,Fall2018
1489,N Lombard & Clarendon,3480,W,NS,11,12,23,3,Fall2018
1490,N Lombard & Delaware,3483,W,NS,19,32,51,10,Fall2018
1491,N Lombard & Delaware,3484,E,NS,20,14,34,2,Fall2018
1492,N Lombard & Denver,3485,W,NS,115,87,202,80,Fall2018
1493,N Lombard & Denver,3486,E,NS,15,27,42,8,Fall2018
1494,N Lombard & Dwight,3487,W,NS,9,15,24,1,Fall2018
1495,N Lombard & Fenwick,3489,E,NS,46,53,99,42,Fall2018
1496,N Lombard & Fiske,3491,W,NS,21,52,73,12,Fall2018
1497,N Lombard & Gilbert,3494,W,FS,4,41,45,5,Fall2018
1498,N Lombard & Gilbert,3496,E,OP,96,15,111,21,Fall2018
1499,N Lombard & Hodge,3498,W,NS,27,28,55,18,Fall2018
1500,N Lombard & Hodge,3500,E,NS,17,22,39,17,Fall2018
1501,N Lombard & Huron,3501,E,NS,31,20,51,12,Fall2018
1502,N Lombard & Huron,3502,W,FS,17,24,41,19,Fall2018
1503,N Lombard & Ida,3503,E,NS,185,96,281,27,Fall2018
1504,N Lombard & Ida,3504,W,NS,84,227,311,76,Fall2018
1549,N Lombard Transit Center,3506,E,NS,458,759,1217,322,Fall2018
1550,N Lombard Transit Center,3507,W,FS,773,453,1226,291,Fall2018
1505,N Lombard & John,3509,W,NS,70,214,284,90,Fall2018
1506,N Lombard & Jordan,3511,E,NS,53,33,86,17,Fall2018
