location,location_id,direction,position,ons,offs,total,lifts
SE Belmont & 42nd,430,W,FS,108,22,130,5
SE Belmont & 46th,435,W,NS,106,32,138,45
SE Belmont & 46th,436,E,OP,35,100,135,55
SE Belmont & 49th,439,E,NS,16,30,46,8
SE Belmont & 49th,440,W,NS,44,14,58,4
SE Belmont & 50th,442,E,FS,5,16,21,0
SE Belmont & 53rd,443,E,FS,4,29,33,2
SE Belmont & 53rd,444,W,NS,31,4,35,1
SE Belmont & 55th,445,E,NS,7,30,37,7
SE Belmont & 55th,446,W,NS,26,9,35,6
SE Belmont & 58th,448,E,OP,3,19,22,5
SE Belmont & 58th,449,W,NS,18,3,21,7
SE Belmont & 60th,450,E,FS,53,133,186,43
SE Belmont & 60th,451,W,NS,113,34,147,54
SE Belmont & 62nd,453,E,OP,7,9,16,2
SE Belmont & 62nd,454,W,FS,11,8,19,4
SE Belmont & 65th,456,E,OP,0,5,5,0
SE Belmont & 65th,457,W,NS,4,2,6,0
SE Belmont & 67th,459,E,NS,1,12,13,0
SE Belmont & 68th,460,W,NS,30,3,33,0
SE Belmont & 9th,465,E,NS,62,90,152,12
1400 Block SW Bertha ,467,E,AT,1,0,1,0
SW Binford Lake & Heiney,469,W,NS,1,5,6,0
SW Binford Lake & Towle,470,E,NS,5,1,6,0
SW Binford Lake & Towle,471,W,FS,1,3,4,0
11200 Block SW Boones Ferry Rd,492,N,AT,2,0,2,0
18200 Block SW Boones Ferry Rd,495,S,AT,3,26,29,0
 ,,,,,,,
TriMet Passenger Census - Fall 2019,8,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
18400 Block SW Boones Ferry Rd,496,N,AT,38,8,46,7
SW Boones Ferry Rd & Alsea,500,S,NS,0,7,7,3
SW Boones Ferry Rd & Apache,501,S,NS,0,4,4,0
SW Boones Ferry Rd & Apache,502,N,OP,1,0,1,0
SW Boones Ferry Rd & Arapaho,503,N,NS,2,0,2,0
SW Boones Ferry Rd & Arnold,506,S,FS,0,2,2,0
SW Boones Ferry Rd & Arnold,507,N,OP,1,0,1,0
SW Boones Ferry Rd & Blake,510,N,NS,6,0,6,0
Boones Ferry Rd & Bryant,512,N,FS,3,3,6,3
SW Lower Boones Ferry & Childs Rd,513,E,FS,3,1,4,0
SW Lower Boones Ferry & Childs Rd,514,W,OP,2,7,9,0
SW Boones Ferry Rd & Clara Ln,515,W,FS,0,1,1,0
SW Boones Ferry Rd & Colony Dr,516,S,OP,0,0,0,0
SW Boones Ferry Rd & Colony Dr,517,N,FS,1,0,1,0
SW Boones Ferry Rd & Coronado,520,S,FS,0,2,2,0
SW Boones Ferry Rd & Day,521,N,OP,3,0,3,0
SW Boones Ferry Rd & Day,522,S,FS,0,3,3,0
Boones Ferry Rd & Firwood,529,S,NS,2,2,4,1
SW Boones Ferry Rd & Ibach,530,S,FS,0,13,13,0
SW Boones Ferry Rd & Ibach,531,N,NS,8,0,8,0
SW Boones Ferry Rd & Greenhill Ln,533,S,OP,0,0,0,0
SW Boones Ferry Rd & Greenhill Ln,534,N,NS,0,0,0,0
SW Boones Ferry Rd & Killarney,535,S,NS,0,3,3,0
Boones Ferry Rd & Kruse Way Pl,536,S,FS,1,8,9,0
18000 Block SW Lower Boones Ferry,537,E,AT,19,4,23,3
Boones Ferry Rd & SW Madrona,538,N,OP,0,1,1,0
Boones Ferry Rd & SW Madrona,539,S,NS,0,0,0,0
SW Boones Ferry Rd & Norwood,542,S,OP,0,5,5,0
SW Boones Ferry Rd & Norwood,543,N,NS,7,0,7,0
SW Boones Ferry Rd & Palatine,545,N,FS,1,0,1,0
Boones Ferry Rd & Rainbow,553,S,OP,0,3,3,0
Boones Ferry Rd & Rainbow,554,N,FS,5,0,5,0
