location,location_id,direction,position,ons,offs,total,lifts
SE Belmont & 53rd,444,W,NS,30,4,34,4
SE Belmont & 55th,445,E,NS,5,27,32,9
SE Belmont & 55th,446,W,NS,22,6,28,3
SE Belmont & 58th,448,E,OP,3,17,20,8
SE Belmont & 58th,449,W,NS,17,3,20,14
SE Belmont & 60th,450,E,FS,51,132,183,33
SE Belmont & 60th,451,W,NS,106,34,140,32
SE Belmont & 62nd,453,E,OP,2,3,5,1
SE Belmont & 62nd,454,W,FS,6,6,12,2
SE Belmont & 65th,456,E,OP,0,3,3,0
SE Belmont & 65th,457,W,NS,3,0,3,0
SE Belmont & 67th,459,E,NS,2,11,13,0
SE Belmont & 68th,460,W,NS,27,4,31,0
SE Belmont & 9th,465,E,NS,60,92,152,22
1400 Block SW Bertha ,467,E,AT,1,1,2,0
SW Binford Lake & Heiney,469,W,NS,1,4,5,0
SW Binford Lake & Towle,470,E,NS,7,2,9,0
SW Binford Lake & Towle,471,W,FS,0,4,4,0
 ,,,,,,,
TriMet Passenger Census -Spring 2019,8,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
11200 Block SW Boones Ferry Rd,492,N,AT,1,1,2,0
18200 Block SW Boones Ferry Rd,495,S,AT,3,24,27,1
18400 Block SW Boones Ferry Rd,496,N,AT,36,6,42,5
SW Boones Ferry Rd & Alsea,500,S,NS,0,7,7,2
SW Boones Ferry Rd & Apache,501,S,NS,0,5,5,0
SW Boones Ferry Rd & Apache,502,N,OP,1,0,1,0
SW Boones Ferry Rd & Arapaho,503,N,NS,3,0,3,0
SW Boones Ferry Rd & Arnold,506,S,FS,0,2,2,0
SW Boones Ferry Rd & Arnold,507,N,OP,1,0,1,0
SW Boones Ferry Rd & Blake,510,N,NS,9,0,9,3
Boones Ferry Rd & Bryant,512,N,FS,2,4,6,0
SW Lower Boones Ferry & Childs Rd,513,E,FS,4,2,6,0
SW Lower Boones Ferry & Childs Rd,514,W,OP,1,5,6,1
SW Boones Ferry Rd & Clara Ln,515,W,FS,0,2,2,0
SW Boones Ferry Rd & Colony Dr,516,S,OP,0,1,1,0
SW Boones Ferry Rd & Colony Dr,517,N,FS,2,0,2,0
SW Boones Ferry Rd & Coronado,520,S,FS,0,1,1,0
SW Boones Ferry Rd & Day,521,N,OP,2,0,2,0
SW Boones Ferry Rd & Day,522,S,FS,0,3,3,0
Boones Ferry Rd & Firwood,529,S,NS,3,3,6,0
SW Boones Ferry Rd & Ibach,530,S,FS,1,11,12,0
SW Boones Ferry Rd & Ibach,531,N,NS,7,0,7,0
SW Boones Ferry Rd & Greenhill Ln,533,S,OP,0,0,0,0
SW Boones Ferry Rd & Greenhill Ln,534,N,NS,0,0,0,0
SW Boones Ferry Rd & Killarney,535,S,NS,0,3,3,0
Boones Ferry Rd & Kruse Way Pl,536,S,FS,1,3,4,1
18000 Block SW Lower Boones Ferry,537,E,AT,19,2,21,2
Boones Ferry Rd & SW Madrona,538,N,OP,1,1,2,0
Boones Ferry Rd & SW Madrona,539,S,NS,1,1,2,0
SW Boones Ferry Rd & Norwood,542,S,OP,0,4,4,0
SW Boones Ferry Rd & Norwood,543,N,NS,4,0,4,0
SW Boones Ferry Rd & Palatine,545,N,FS,1,0,1,0
Boones Ferry Rd & Rainbow,553,S,OP,0,3,3,0
Boones Ferry Rd & Rainbow,554,N,FS,1,0,1,0
18000 Block SW Lower Boones Ferry,558,W,AT,3,20,23,3
SW Boones Ferry Rd & Siletz,562,N,NS,3,0,3,0
SW Boones Ferry Rd & Siletz,563,S,NS,0,3,3,0
Boones Ferry Rd & Spring Lane,564,N,NS,9,2,11,0
SW Boones Ferry Rd & Stephenson,565,N,FS,3,0,3,0
SW Boones Ferry Rd & Stephenson,566,W,FS,0,4,4,0
Boones Ferry Rd & Twin Fir,568,S,OP,1,4,5,0
Boones Ferry Rd & Twin Fir,569,N,FS,3,0,3,0
SW Lower Boones Ferry & Boones Ferry,570,E,FS,2,1,3,0
Boones Ferry Rd & West Sunset Dr,576,S,NS,0,0,0,0
