location,location_id,direction,position,ons,offs,total,lifts
21000 Block SE Stark,5391,W,AT,18,5,23,19
21000 Block SE Stark,5392,E,NS,5,18,23,13
21100 Block NE Sandy,9717,E,AT,3,4,7,3
21100 Block NE Sandy,9722,W,OP,4,3,7,2
21700 Block SE Hwy 224,8720,E,AT,0,1,1,0
21700 Block SE Hwy 224,8721,W,OP,1,0,1,0
21900 Block N Sherwood Blvd,5245,S,AT,0,3,3,6
 ,,,,,,,
TriMet Passenger Census -Fall 2018,7,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
2200 Block Baseline,28,W,AT,46,73,119,40
2200 Block Baseline,267,E,AT,50,29,79,24
2200 Block NE Griffin Oaks,9951,E,AT,2,2,4,0
2200 Block NE Griffin Oaks,10198,W,OP,2,2,4,0
2200 Block SE 82nd,7923,S,OP,22,120,142,6
2200 Block SW 1st,6472,N,AT,3,16,19,16
2200 Block SW Taylors Ferry,5691,E,AT,2,0,2,0
2200 Block SW Taylors Ferry,5692,W,AT,0,0,0,0
2200 Block SW Vermont,6018,W,AT,0,2,2,0
22000 Block SE Hwy 224,10647,W,OP,1,0,1,0
22600 Block SE Hwy 224,10185,W,OP,0,0,0,0
22600 Block SE Hwy 224,10186,E,AT,0,1,1,0
22800 Block NE Sandy,13086,E,AT,5,1,6,0
22800 Block NE Sandy,13092,W,AT,1,7,8,0
2300 Block SW 257th,10645,N,AT,1,2,3,0
23300 Block NE Halsey,2330,E,AT,9,17,26,7
23300 Block NE Halsey,2331,W,AT,17,10,27,7
23500 Block NE Sandy,13088,E,AT,95,68,163,49
23500 Block NE Sandy,13090,W,AT,58,92,150,43
23900 Block NE Halsey,2333,W,AT,3,2,5,0
2400 Block NE Riverside Way,9371,W,AT,6,0,6,0
2400 Block NW 29th,8808,N,AT,1,8,9,4
2400 Block NW Westover,10314,N,OP,0,0,0,0
2400 Block SE Bybee,859,W,AT,2,2,4,2
24300 Block SW Boones Ferry Rd,8891,S,AT,0,1,1,0
24300 Block SW Boones Ferry Rd,8892,N,AT,1,0,1,0
2500 Block Country Club,1225,E,AT,17,18,35,27
2500 Block NE Century (NW 229th),9603,N,AT,8,31,39,0
2500 Block NE Century (NW 229th),9604,S,AT,27,9,36,0
2500 Block NE Riverside Way,8854,E,AT,0,7,7,0
2500 Block NW 29th,8809,S,OP,1,0,1,1
2500 Block NW Division,13879,W,AT,15,9,24,5
2500 Block SW Vista,13573,W,OP,0,2,2,0
2500 Block South Shore,5288,W,AT,0,0,0,0
2500 Block of NE Saratoga,5148,W,AT,101,95,196,28
25800 Block SE Eagle Creek Rd,1558,N,AT,6,4,10,0
2600 Block N Marine,10477,E,AT,0,0,0,0
2600 Block NW Division,13880,E,AT,12,16,28,5
2600 Block SW Beaverton-Hillsdale,325,E,AT,16,6,22,0
2600 Block SW Beaverton-Hillsdale,366,W,FS,5,6,11,0
2600 Block SW Ravensview,13572,N,AT,4,0,4,0
26300 Block SE Hwy 224,10500,E,OP,1,0,1,0
26300 Block SE Hwy 224,10501,W,AT,0,1,1,0
2700 Block SE Harrison,2571,W,OP,11,27,38,0
2700 Block SW Fairview,1618,E,AT,0,0,0,0
2700 Block SW Fairview,1619,W,OP,0,0,0,0
2700 Block W Powell,8742,E,AT,59,85,144,56
 ,,,,,,,
TriMet Passenger Census -Fall 2018,8,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
